,name,fork project,commits,branches,default branch,releases,contributors,license,watchers,stargazers,forks,size,created,pushed,updated,homepage,main language,total issues,open issues,total pull requests,open pull requests,last commit,last commit SHA,has wiki,is archived,languages,labels
2020,twbs/bootstrap,False,20722,86,main,68,376,MIT License,7120,149037,72735,178773,2011-07-29 21:19:00.0,2021-03-29 07:49:07.0,2021-03-29 19:48:27.0,https://getbootstrap.com,JavaScript,20235,261,12300,110,2021-03-23 17:06:11.0,232e392c9126fcb1dbe13c963e7edcdbd62cfeb8,False,False,"JavaScript,HTML,SCSS,CSS,PowerShell","3rd-party,CI,accessibility,awaiting-reply,backport-to-v4,breaking-change,browser bug,build,confirmed,css,dependencies,docs,duplicate,examples,feature,github_actions,hacktoberfest-accepted,has conflicts,has-pr,help wanted,how-to,in progress,invalid,js,large PR,meta,needs documentation,needs migration notes,needs tests,no squash,no-backport-to-v4,on-hold,performance,print,refactoring,regression,release,rfs,rtl,ship list,skip-changelog,tests,utility API,v3,v4,v5,v6,won't fix"
1790,secdev/scapy,False,5706,1,master,11,277,GNU General Public License v2.0,200,6120,1426,83544,2015-10-01 17:06:46.0,2021-03-29 20:41:11.0,2021-03-30 02:50:52.0,https://scapy.net,Python,1134,42,2020,28,2021-03-29 12:25:02.0,9652b239b11b8e04191e1fa4f67a0f0cac18e2ee,True,False,"Python,Shell,PowerShell,Batchfile","Hacktoberfest,Hinty,PEPin,broken,bug,cleanup,conflicts,contributions wanted,convergence,coverage,dependency-related,discussion,doc,duplicate,enhancement,good first issue,hacktoberfest-accepted,help wanted,invalid,major,needs additional info,needs rework/cleanup,needs testing,new layer,on hold,platform-specific,tests,tls,wontfix"
325,chakra-ui/chakra-ui,False,6235,14,main,546,354,MIT License,167,16432,1303,87433,2019-08-17 14:27:54.0,2021-03-29 09:56:12.0,2021-03-29 22:52:45.0,https://chakra-ui.com,TypeScript,1664,61,1665,14,2021-03-29 08:50:53.0,6ab82ca37e898444b13c6a54de0b18704f562f12,False,False,"TypeScript,JavaScript,Handlebars,HTML","Breaking Change :hammer:,Critical Review Needed: Don't merge 🛑,Incorrect Issue ❌,PR welcome 😇,Priority: High 🚨,Priority: Low,Priority: Medium,Showcase 💖,Status: Assigned ➡,Status: Awaiting Response ⏳,Status: Needs Reproduction ♺,Status: Won't Fix 💀,Status: Work in Progress 🛠,Topic: Accessibility (A11y) ♿️,Topic: Browser Support  🌏,Topic: Build and Workflow ↩️,Topic: Color Mode 🌓,Topic: Component API ⚙️,Topic: Design and UX ✍️,Topic: Development :computer:,Topic: Documentation 📚,Topic: Feedback 💬,Topic: Gatsby Plugin 🔌,Topic: Integrations :infinity:,Topic: Next.js ▲,Topic: Performance,Topic: Release Management :package:,Topic: Repo Management :globe_with_meridians:,Topic: Responsive 📱,Topic: Reviews ⭐️💖,Topic: SSR 💻,Topic: Storybook Addon,Topic: Storybook 📖,Topic: Testing 🧪,Topic: Theming 🎨,Topic: Tooling 🛠,Topic: TypeScript 🤠,Topic: Website 🖥,Type: API discussion 💡,Type: Announcement 🔊,Type: Bug 🐛,Type: Dependency 🔗,Type: Duplicate 😒,Type: Feature 🚀,Type: Question ❓,Type: Translation 📝,core team 🌼,good first issue 👍,good for beginners 😃,hacktoberfest-accepted,help wanted  🆘,invalid,needs triage,not stale,review needed 🔬,security,stale,waiting for upvote 👍,workaround available ✌️,🍿 Popper.js"
1567,pmeal/openpnm,False,7837,14,dev,28,25,MIT License,27,205,123,155785,2013-07-25 20:32:47.0,2021-03-14 04:46:47.0,2021-03-13 01:29:00.0,http://openpnm.org,Python,1249,72,613,6,2021-03-13 01:28:57.0,afbd7e6659c70778c8b983760fbc896424fc64af,False,False,"Python,Shell,HTML","api,approved,bug,difficult,discussion,documentation,easy,enhancement,example,feature request,high priority,low priority,maintenance,need brainstorming,performance,pore-scale model,proposal,question,refactor,revisit,telecon agenda,testing,triage,website"
122,aria2/aria2,False,5274,8,master,150,54,Other,712,21872,2617,28271,2010-11-27 09:41:48.0,2020-12-30 04:21:43.0,2021-01-13 01:12:38.0,https://aria2.github.io/,C++,1438,763,278,30,2020-12-28 03:05:07.0,faa6955c8d7bb7b6541e0b7fbb84f7d213f761ab,True,False,,
739,gemini-hlsw/ocs,False,6456,38,develop,20,15,Other,13,13,22,405934,2014-09-12 14:20:23.0,2021-03-22 21:26:31.0,2021-03-22 21:26:34.0,,Java,12,4,1839,2,2021-03-22 21:26:31.0,578b48d5e1af1a7b36aad0533c19924e16329d6f,True,False,"Java,Scala,HTML,Shell,JavaScript,CSS,AMPL,Tcl","boring,bug,duplicate,enhancement,help wanted,invalid,question,wontfix"
471,dimagi/commcare-hq,False,148309,2011,master,13,127,BSD 3-Clause New or Revised License,52,431,189,600358,2009-07-09 17:00:07.0,2021-03-26 18:48:39.0,2021-03-26 18:30:27.0,https://www.dimagi.com/open-source/,Python,81,13,29334,179,2021-03-26 18:30:23.0,c85460c7dc0215d927b83379fd00e58d7690df99,False,False,"Python,JavaScript,HTML,Less,CSS,PLpgSQL,Shell,Dockerfile,PHP,Makefile","CEP,CEP: done,Open for review: do not merge,QA Passed,QA post deploy,Risk: High,Risk: Medium,awaiting QA,dependencies,dependencies/javascript,product/ab-test,product/admin,product/all-users-all-environments,product/custom,product/feature-flag,product/invisible,product/prod-india-all-users,reindex/migration"
1091,liqd/adhocracy3,False,15522,5,master,67,19,Other,14,51,14,26126,2014-08-15 08:07:57.0,2019-02-26 22:52:29.0,2019-07-14 14:12:03.0,https://adhocracy3.readthedocs.io,Python,590,65,2315,1,2019-02-26 22:52:26.0,706cf82529b5e6c198d712c0a57561b7280a9770,False,False,,
2017,tryghost/ghost,False,12660,20,main,407,348,MIT License,1103,36867,8029,53244,2013-05-04 11:09:13.0,2021-03-26 22:24:17.0,2021-03-27 16:42:52.0,https://ghost.org,JavaScript,6058,47,6706,26,2021-03-25 11:05:14.0,4b0a990a759ef7c190945834ccd6e9cdfc4836d2,False,False,"JavaScript,CSS,HTML,Handlebars,XSLT,Shell","adapters,admin client,api,bug,community project,css / design / mobile,customer,dependencies,editor,email,feature,feature-request,good first issue,help wanted,import / upgrade,later,members,members / mega,models / data,needs info,node-10-drop,p0 - critical,p1 - priority,p2 - major,performance,permissions,pinned,portal,publishing,routing,server / core,stale,support-request,tests / tools / standards,themes / frontend"
2032,ultimaker/cura,False,25083,69,master,36,286,GNU Lesser General Public License v3.0,182,2755,1215,305532,2014-06-16 12:55:31.0,2021-03-28 11:41:42.0,2021-03-28 20:29:36.0,,Python,7229,1184,2216,40,2021-03-26 10:26:03.0,729d3afd3255c4c28507619e9aac344df5fdafdd,True,False,"Python,QML,GLSL,CMake,Shell,HTML,Dockerfile","Category: 3rd-Party,Category: Cloud,Category: Connect,Category: Cura,Category: Cura-Build,Category: Engine,Category: Hardware,Category: Settings,Category: Translations,Category: UX,Category: Uranium,Platform: Linux,Platform: MacOS,Platform: Windows,Status: Deferred,Status: Duplicate,Status: Fixed/Solved,Status: In Progress,Status: Needs Info,Status: Won't Fix/Do,Type: Bug,Type: Discussion,Type: Improvement,Type: New Feature,Type: Question,dependencies"
